"";"gender";"religious_attendance";"age";"faith";"education";"family_status";"economical_status";"code";"HSPS_1";"HSPS_2";"HSPS_3";"HSPS_4";"HSPS_5";"HSPS_6";"HSPS_7";"HSPS_8";"HSPS_9";"HSPS_10";"HSPS_11";"HSPS_12";"HSPS_13";"HSPS_14";"HSPS_15";"HSPS_16";"HSPS_17";"HSPS_18";"HSPS_19";"HSPS_20";"HSPS_21";"HSPS_22";"HSPS_23";"HSPS_24";"HSPS_25";"HSPS_26";"HSPS_27";"DSES_1";"DSES_2";"DSES_3";"DSES_4";"DSES_5";"DSES_6";"DSES_7";"DSES_8";"DSES_9";"DSES_10";"DSES_11";"DSES_12";"DSES_13";"DSES_14";"DSES_15";"BFI_N_1";"BFI_N_2";"BFI_N_3";"BFI_N_4";"BFI_N_5";"BFI_N_6";"BFI_N_7";"BFI_N_8";"TEQ_1";"TEQ_3";"TEQ_5";"TEQ_16";"TEQ_CON_2";"TEQ_CON_4";"TEQ_CON_14";"senisitivity_1";"senisitivity_2";"senisitivity_3";"senisitivity_4";"senisitivity_5";"senisitivity_6";"senisitivity_7";"senisitivity_8";"senisitivity_9";"senisitivity_10";"emotions_1";"emotions_2";"emotions_3";"emotions_4";"emotions_5";"emotions_6";"emotions_7";"emotions_8";"emotions_9";"emotions_10";"cov_topics1_1";"cov_topics1_2";"cov_topics1_3";"cov_topics1_4";"cov_topics1_5";"cov_topics1_6";"cov_topics1_7";"cov_topics1_8";"cov_topics1_9";"cov_topics2_1";"cov_topics2_2";"cov_topics2_3";"cov_topics2_4";"cov_topics2_5";"cov_topics2_6";"cov_topics2_7";"cov_topics2_8";"cov_topics2_9";"cov_topics2_10";"cov_topics2_11";"cov_topics2_12";"cov_topics2_13";"cov_topics2_14"
"11";"Male";"Never";54;NA;"Vocational school or non - maturity high school";"Married";"Employed";"09cc8c0a62d6a3551aa4d361ac000077";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"12";"Male";"Occasionaly";58;NA;"High school";"Married";"Employed";"0bcfabd72487685ee2d6a15cb5bd2d24";4;4;5;7;2;7;4;4;7;3;7;4;7;6;1;6;6;7;7;3;7;1;5;4;7;5;1;3;4;2;1;3;2;3;5;6;6;6;4;6;2;2;3;4;4;4;4;3;2;4;NA;NA;NA;NA;NA;NA;NA;5;9;5;2;8;10;10;10;6;6;7;7;8;9;8;2;8;10;10;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"13";"Male";"Never";83;NA;"University master or higher";"Married";"Not working pensioner";"0bf9b881963c7b95d78f1a79fa8e55af";3;4;5;5;2;3;3;4;5;3;2;5;3;5;3;5;5;3;3;5;3;5;5;4;5;3;3;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;2;4;2;2;4;2;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;6;6;5;6;6;4;3;4;4;4;4;5;6;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"14";"Female";"Never";36;NA;"Vocational school or non - maturity high school";"Unmarried";"Without work";"12265c940ab9d29f592dd6dc245b33d9";1;1;1;4;1;3;1;4;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;1;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"15";"Female";"Never";33;NA;"Vocational school or non - maturity high school";"Unmarried";"Employed";"13841cecea25bda09adaa8d955cb35b3";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;2;2;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"16";"Female";"Never";45;NA;"Vocational school or non - maturity high school";"Divorced";"Employed";"13ed4e3875835bf93caf6392e66844b8";6;5;4;4;1;1;4;4;3;4;5;6;3;4;6;6;6;7;4;4;5;6;5;7;6;4;6;1;2;1;3;4;1;1;1;1;1;1;5;5;1;1;1;4;2;1;4;2;4;1;NA;NA;NA;NA;NA;NA;NA;7;5;5;5;5;5;5;5;5;5;6;6;5;6;5;5;5;5;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"17";"Female";"Occasionaly";68;NA;"High school";"Married";"Not working pensioner";"14450a40a441bedb3c21914aa7dd6d84";4;4;4;2;4;3;2;4;5;6;4;4;3;3;4;4;5;7;4;3;4;6;4;4;5;3;4;3;3;2;2;2;2;2;2;2;3;3;3;2;2;2;1;4;2;1;4;1;2;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;3;5;3;5;7;5;5;5;5;5;7;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"18";"Male";"Never";39;NA;"Vocational school or non - maturity high school";"Unmarried";"Without work";"152b519be45db116e62c9607bdf1416c";4;3;4;3;4;5;4;5;2;2;3;5;3;3;3;4;6;5;3;3;6;4;4;4;4;7;6;1;1;1;1;2;2;1;1;1;1;1;3;3;1;1;4;2;4;4;1;4;2;3;NA;NA;NA;NA;NA;NA;NA;6;5;7;6;6;5;5;7;5;5;5;4;6;3;8;8;3;2;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"19";"Male";"Never";39;NA;"High school";"Unmarried";"Employed";"1880bb1233b60ab44ab0ee3cd4d86c10";5;3;5;5;3;4;5;4;4;3;6;4;4;4;5;4;5;6;4;6;4;4;4;5;5;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;1;4;2;4;1;NA;NA;NA;NA;NA;NA;NA;5;7;5;6;5;8;9;5;4;6;7;8;5;5;5;6;10;8;7;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"20";"Female";"Never";37;NA;"Vocational school or non - maturity high school";"Married";"Employed";"1896c8c9ee9732223e5fd0b8356a80eb";4;4;4;4;1;1;1;5;1;4;1;6;1;1;4;7;7;1;1;1;2;4;1;7;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;4;3;3;3;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"21";"Male";"Never";42;NA;"Vocational school or non - maturity high school";"Unmarried";"Employed";"18f03bf710558ceacb5fc0316d2e48ed";1;1;2;1;2;1;1;2;5;1;1;3;4;6;1;6;3;2;1;1;1;1;2;4;5;6;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;3;4;2;4;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;5;6;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"22";"Male";"Never";26;NA;"Vocational school or non - maturity high school";"Married";"Employed";"19a4d18b5f6f0f3c7dda46c0c69abb07";3;1;4;1;5;1;2;6;2;6;1;3;2;7;6;7;5;1;2;6;5;2;2;4;2;5;2;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;4;1;1;5;4;4;1;NA;NA;NA;NA;NA;NA;NA;7;5;5;5;6;5;7;5;5;5;5;5;6;5;5;5;5;7;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"23";"Female";"Never";56;NA;"Vocational school or non - maturity high school";"Married";"Employed";"1ca68acc26055bad133f3f1387b752bb";4;4;4;7;5;4;4;5;6;5;4;7;5;5;6;4;6;7;5;5;4;4;5;6;6;5;2;2;2;2;2;2;5;3;3;2;2;2;3;3;3;1;1;4;1;1;4;1;2;1;NA;NA;NA;NA;NA;NA;NA;2;6;9;6;6;10;7;1;9;9;4;7;7;5;3;6;6;6;6;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"24";"Female";"Never";39;NA;"Vocational school or non - maturity high school";"Unmarried";"Employed";"1de7300ec5fa824ac01dd710ff5bbf63";4;4;5;2;4;4;4;4;5;5;5;6;6;4;5;5;4;3;4;1;3;5;4;2;4;2;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;10;4;4;6;6;5;4;5;5;8;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"25";"Male";"Never";58;NA;"High school";"Married";"Without work";"1f1bf92881375ee02bf8160fec99f92d";1;6;2;1;5;1;2;4;4;1;6;7;4;5;5;5;6;1;5;1;4;3;5;4;3;5;5;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;4;2;2;5;2;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;8;2;2;2;2;5;5;7;5;5;3;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"26";"Female";"Never";43;NA;"High school";"Married";"Employed";"20a3b126ba93bf9b9c598cbdd75de591";3;4;5;4;3;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;4;4;2;3;2;4;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;8;8;8;8;6;5;6;5;9;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"27";"Male";"Never";56;NA;"Vocational school or non - maturity high school";"Married";"Employed";"2455d8e9bbef1472aba4d637a45208d3";2;5;3;1;1;1;2;4;1;4;4;4;1;2;4;2;7;4;1;2;2;5;1;3;1;4;2;2;1;1;1;1;1;1;1;2;1;2;2;1;2;1;1;4;2;1;4;2;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;6;5;5;5;5;5;6;5;5;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"28";"Male";"Never";36;NA;"Higher vocational school or University bachelor";"Married";"Entrepreneur with > 6 employes";"24b0eda83d64fcd9603763a5b0cbd47d";3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;3;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;3;2;1;2;2;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"29";"Male";"Never";68;NA;"University master or higher";"Divorced";"Employed";"25316a7861f3a74a978b57dd8ddd25e4";4;5;5;5;1;1;6;5;7;5;1;6;4;5;5;5;6;7;5;4;5;7;4;6;6;3;4;4;4;2;2;4;2;2;2;2;2;3;5;4;2;2;1;4;2;2;4;2;4;3;NA;NA;NA;NA;NA;NA;NA;7;7;6;5;6;6;5;5;5;5;7;7;7;6;4;5;8;5;9;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"30";"Male";"Never";45;NA;"Vocational school or non - maturity high school";"Unmarried";"In household";"25961ac63ead3c10b09c0d60da8e7fd9";1;1;4;6;2;1;1;1;2;1;1;5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;NA;NA;NA;NA;NA;NA;NA;4;4;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"31";"Female";"Occasionaly";53;NA;"Vocational school or non - maturity high school";"Married";"Employed";"273a08de3d34338e3574d269da1715b7";2;2;2;2;2;1;7;4;7;7;4;4;4;5;6;4;6;4;4;3;6;7;6;6;7;6;4;2;3;2;2;2;2;1;1;1;3;2;2;2;2;1;1;3;3;2;3;2;4;3;NA;NA;NA;NA;NA;NA;NA;5;8;5;5;9;3;5;5;5;7;5;5;6;5;7;7;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"32";"Male";"Occasionaly";56;NA;"High school";"Married";"Entrepreneur without employes";"28e45a88ecc6df79fbe1e962528ed47b";3;5;2;3;7;7;7;2;4;2;3;2;6;3;2;3;3;2;5;6;3;1;5;2;5;7;4;1;5;1;1;4;1;1;1;4;4;1;3;3;1;1;1;4;2;1;5;1;2;1;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;3;0;2;3;1;4;4;1;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"33";"Male";"Often, but not every week";28;NA;"Vocational school or non - maturity high school";"Unmarried";"Without work";"2b3e28c1531276b8480fe93e9e8856ae";4;3;3;3;3;3;3;3;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;3;3;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;2;2;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"34";"Male";"Occasionaly";68;NA;"Basic school or unfinished or without basic school";"Married";"Not working pensioner";"2b4bf74c2550f9f2185147ed97114b58";4;5;7;5;4;1;4;1;7;4;6;7;4;7;7;7;7;4;7;5;4;7;7;7;7;7;7;2;1;2;2;2;2;2;2;1;1;3;3;3;3;3;2;4;4;2;4;3;4;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;2;2;2;5;5;5;5;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"35";"Female";"Never";40;NA;"Basic school or unfinished or without basic school";"Unmarried";"Employed";"2fa95f25708ce39f9c110d888ac0d112";7;5;5;4;7;3;6;3;7;7;7;5;5;4;3;4;4;4;2;4;5;5;5;6;7;6;6;1;2;1;1;2;3;2;1;2;1;3;2;4;1;1;3;2;4;4;3;4;3;4;NA;NA;NA;NA;NA;NA;NA;6;9;8;7;6;5;5;5;7;7;8;6;7;7;5;7;4;7;9;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"36";"Female";"Never";54;NA;"High school";"In relationship";"Employed";"307b57bee65b5ccda1369f5fc4eb3818";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;7;9;10;10;6;9;3;6;9;7;7;4;5;5;6;6;7;5;7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"37";"Female";"Occasionaly";69;NA;"High school";"Married";"Not working pensioner";"30c32876c9eb2a7e6f4951e4d2c4f96a";5;6;4;3;6;4;5;6;6;3;7;6;5;6;5;5;6;7;7;3;7;7;7;7;6;6;1;2;3;2;2;2;3;1;3;3;2;2;4;3;2;2;3;2;4;4;2;3;1;4;NA;NA;NA;NA;NA;NA;NA;4;8;8;6;4;3;6;1;5;0;10;9;10;10;7;7;10;1;7;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"38";"Female";"Never";34;NA;"Higher vocational school or University bachelor";"Married";"Employed";"30ce77a9d5ed8d0af372270bd127d13e";1;3;4;2;2;1;3;2;1;2;3;6;2;1;6;1;2;1;1;2;1;6;6;4;1;3;1;1;2;1;1;2;1;1;1;1;1;2;3;2;1;1;1;4;3;3;4;4;3;4;NA;NA;NA;NA;NA;NA;NA;0;0;8;4;0;3;4;4;0;5;1;2;0;1;4;0;5;1;0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"39";"Female";"Never";48;NA;"Vocational school or non - maturity high school";"Unmarried";"Employed";"31b1b024d86db3a11782b320ebeb1a0c";7;3;6;4;5;5;7;4;7;5;7;7;4;3;5;7;7;7;4;6;4;7;3;6;6;7;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;3;4;3;4;2;NA;NA;NA;NA;NA;NA;NA;5;8;7;9;7;2;6;4;8;8;8;8;8;8;8;8;8;8;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"40";"Male";"Never";59;NA;"High school";"Divorced";"Employed";"31d94011451a96fd1f27e4ca020abed1";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;2;3;2;3;3;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"41";"Male";"Never";59;NA;"University master or higher";"Divorced";"Not working pensioner";"32689004b138dcbaa9bb80838d56ec48";4;3;3;4;1;1;2;4;2;6;1;7;5;4;5;2;7;4;2;2;2;6;2;6;2;4;4;2;4;1;2;3;2;3;1;1;5;4;2;3;2;1;2;4;1;3;4;3;3;2;NA;NA;NA;NA;NA;NA;NA;3;4;5;5;5;4;2;5;4;6;5;3;5;5;5;5;6;6;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
